Department,Semester,Gender,Age,Course,GPA,Credits Earned,Attendance (%),Study Hours per Day,Previous Marks (%),Assignment Score,Subject Average (%),Subject Attendance Average (%),Predicted Result
Computer Science,3,Female,21,MCA,7.7,22,78,2.9,62,8.1,70.5,75.6,On Track
Mechanical,4,Female,22,MBA,5.7,36,87,1.1,88,8.4,77.8,78.3,On Track
Civil,4,Non-binary,17,B.Sc,8.3,25,51,2.1,94,7.0,88.1,45.0,On Track
Civil,5,Female,21,B.Tech,6.3,31,80,2.7,84,7.7,76.2,68.0,On Track
Mechanical,6,Non-binary,21,MCA,8.7,36,85,0.7,79,6.4,83.7,79.9,On Track
Electronics,6,Male,25,BCA,5.3,36,68,3.7,41,4.0,63.7,56.7,At Risk
Information Technology,2,Non-binary,20,B.Sc,8.0,30,60,0.9,54,8.6,64.7,55.3,On Track
Business Analytics,3,Non-binary,21,B.Tech,6.9,35,72,5.1,47,6.4,70.0,68.0,On Track
Electronics,3,Non-binary,23,MBA,7.0,32,94,2.9,79,9.4,91.5,88.7,On Track
Mechanical,1,Non-binary,25,MCA,5.5,17,52,2.0,74,9.8,73.7,51.5,On Track
Electronics,6,Non-binary,25,MCA,7.9,34,65,4.0,62,4.2,76.4,64.0,On Track
Electronics,1,Female,18,B.Sc,9.6,20,93,1.1,78,8.8,96.0,87.9,On Track
Electronics,4,Male,24,MBA,8.2,26,56,1.9,53,7.0,74.5,47.1,On Track
Business Analytics,8,Male,23,MBA,9.6,43,63,5.0,48,8.1,73.3,52.0,On Track
Information Technology,8,Female,20,BCA,6.3,50,87,3.5,93,8.9,86.4,72.5,On Track
Civil,3,Female,19,B.Sc,6.3,21,63,4.3,42,7.8,61.7,61.3,On Track
Electronics,4,Male,25,MBA,6.9,27,81,3.6,69,6.0,81.9,76.8,On Track
Mechanical,8,Female,24,B.Sc,5.7,45,67,0.9,52,3.8,58.3,59.9,At Risk
Civil,1,Female,22,MCA,5.8,20,69,4.6,53,9.7,69.9,66.4,On Track
Information Technology,6,Female,19,MBA,6.9,40,90,6.2,81,8.0,90.1,77.9,On Track
Mechanical,1,Male,24,MBA,7.5,15,68,4.9,57,9.5,83.4,61.5,On Track
Business Analytics,3,Non-binary,25,MBA,9.1,29,61,1.2,92,8.5,82.5,54.1,On Track
Business Analytics,8,Male,21,MBA,7.8,42,59,5.8,55,7.1,73.0,54.4,On Track
Electronics,7,Male,22,B.Tech,6.6,47,65,5.7,70,6.1,85.8,61.5,On Track
Computer Science,7,Male,24,MBA,5.6,38,65,5.1,94,9.7,98.0,55.3,On Track
Computer Science,5,Male,21,BCA,8.9,40,95,4.3,49,4.9,85.1,80.1,On Track
Business Analytics,1,Male,17,BCA,6.3,15,78,4.7,65,8.1,85.4,73.5,On Track
Information Technology,7,Female,23,B.Tech,8.8,48,75,1.8,90,8.8,94.7,63.5,On Track
Mechanical,8,Female,19,BCA,8.1,47,81,0.6,61,8.4,64.0,68.5,On Track
Information Technology,1,Non-binary,25,MCA,7.4,28,56,5.4,44,3.7,74.1,55.2,On Track
Mechanical,4,Male,24,MBA,8.9,30,92,2.3,96,9.7,91.3,84.5,On Track
Mechanical,8,Female,18,B.Sc,5.2,46,52,3.8,90,8.7,87.7,46.7,On Track
Civil,4,Female,18,MBA,6.1,28,86,1.8,62,8.8,71.4,73.0,On Track
Business Analytics,5,Male,22,B.Tech,9.5,30,62,2.7,95,7.4,97.5,55.5,On Track
Business Analytics,2,Female,18,MCA,8.0,17,93,2.9,42,9.8,60.6,89.7,On Track
Computer Science,2,Non-binary,20,B.Tech,8.2,24,53,5.0,67,4.0,79.0,45.0,On Track
Information Technology,6,Female,23,B.Tech,6.7,41,71,0.9,65,4.0,65.2,65.3,At Risk
Civil,6,Non-binary,24,BCA,8.5,46,66,5.5,69,9.9,85.3,57.3,On Track
Mechanical,4,Non-binary,22,MBA,9.1,32,86,3.2,90,9.6,98.0,75.2,On Track
Electronics,6,Female,23,MCA,5.9,32,78,6.2,79,6.9,92.8,68.0,On Track
Computer Science,5,Non-binary,24,MCA,5.6,44,70,0.5,39,9.9,52.0,63.9,At Risk
Mechanical,2,Male,20,B.Sc,5.3,21,91,5.2,52,8.0,65.8,78.0,On Track
Mechanical,6,Non-binary,18,B.Tech,8.8,41,91,3.9,89,4.6,94.8,86.5,On Track
Electronics,3,Male,22,MCA,9.6,29,93,5.3,68,9.3,93.7,87.3,On Track
Electronics,5,Non-binary,22,MBA,8.3,37,49,1.7,52,9.4,72.5,46.3,On Track
Business Analytics,2,Female,17,MBA,5.0,22,72,2.5,78,5.6,79.7,66.5,At Risk
Business Analytics,8,Male,24,B.Tech,5.0,45,87,1.8,75,8.4,72.1,78.3,On Track
Business Analytics,8,Male,24,B.Tech,8.4,48,87,5.0,67,6.8,83.3,78.3,On Track
Information Technology,6,Male,19,B.Sc,5.5,46,87,3.0,41,4.9,51.8,80.5,At Risk
Business Analytics,4,Male,17,B.Sc,7.6,32,72,3.9,76,7.1,84.4,68.8,On Track
Business Analytics,8,Non-binary,17,B.Tech,7.4,52,63,3.4,42,6.1,62.1,58.1,At Risk
Computer Science,3,Non-binary,25,MCA,4.9,27,82,5.6,63,5.4,67.8,73.9,At Risk
Information Technology,7,Non-binary,23,BCA,7.4,44,50,5.3,38,4.5,58.6,46.2,On Track
Civil,3,Male,20,BCA,8.5,36,92,1.1,72,8.1,77.4,87.0,On Track
Business Analytics,4,Male,22,MBA,6.5,33,90,2.3,43,7.4,60.7,85.4,At Risk
Business Analytics,8,Female,19,B.Sc,5.6,52,96,2.0,90,8.9,91.9,87.2,On Track
Computer Science,6,Non-binary,25,MCA,8.8,37,61,3.4,75,5.1,89.9,52.8,On Track
Mechanical,2,Non-binary,19,MBA,9.4,21,85,1.1,84,4.9,95.4,80.5,On Track
Computer Science,6,Male,25,B.Sc,6.3,42,57,1.5,78,7.8,78.5,48.8,On Track
Civil,8,Female,18,MBA,4.9,40,64,3.1,91,8.8,80.7,53.2,On Track
Information Technology,3,Male,20,BCA,6.3,27,49,4.3,48,7.5,67.1,45.0,At Risk
Civil,8,Non-binary,18,BCA,5.6,52,59,1.6,60,4.6,60.6,57.8,At Risk
Civil,2,Female,19,B.Tech,6.0,31,83,1.7,57,5.7,73.4,80.2,On Track
Business Analytics,7,Male,24,BCA,6.1,47,82,5.1,83,5.7,82.5,71.0,On Track
Mechanical,1,Non-binary,20,MBA,9.1,26,72,4.3,57,8.2,87.0,59.7,On Track
Computer Science,6,Non-binary,20,MCA,9.2,38,51,2.8,44,3.8,69.4,50.4,At Risk
Civil,6,Non-binary,18,BCA,9.2,38,62,2.6,64,9.1,71.0,59.3,On Track
Business Analytics,1,Non-binary,19,B.Tech,8.1,14,90,5.6,43,4.9,77.8,77.1,On Track
Computer Science,8,Male,20,B.Sc,5.8,41,82,5.5,49,6.4,68.9,73.9,On Track
Mechanical,6,Non-binary,21,MCA,5.3,48,54,3.9,68,5.1,73.7,51.3,On Track
Computer Science,7,Male,19,MCA,7.4,36,54,4.7,66,7.7,85.4,48.3,On Track
Business Analytics,4,Non-binary,17,B.Sc,6.5,39,88,2.6,53,9.5,72.3,84.7,On Track
Mechanical,8,Female,18,BCA,8.7,42,53,4.5,38,5.2,71.9,45.0,At Risk
Mechanical,8,Male,19,MCA,5.3,53,48,2.4,49,4.5,49.9,48.6,At Risk
Mechanical,7,Female,21,MBA,9.5,51,92,4.2,86,9.2,98.0,82.3,On Track
Civil,6,Female,24,BCA,6.4,39,90,1.2,57,8.9,66.5,75.2,On Track
Information Technology,1,Non-binary,18,MCA,5.8,13,71,4.2,39,9.5,61.4,58.3,On Track
Electronics,1,Non-binary,19,MCA,8.5,28,69,2.8,76,7.2,92.6,61.4,On Track
Business Analytics,2,Non-binary,17,MBA,6.9,26,60,6.3,75,6.1,81.5,57.4,On Track
Computer Science,1,Non-binary,21,BCA,6.1,23,63,5.3,83,9.6,83.6,52.2,On Track
Information Technology,8,Male,23,BCA,9.6,48,80,4.5,47,4.1,76.5,66.3,On Track
Electronics,7,Non-binary,22,MBA,6.3,38,58,3.6,65,8.3,74.4,53.5,On Track
Computer Science,6,Female,24,B.Tech,6.6,46,61,4.3,39,5.3,62.5,50.7,At Risk
Business Analytics,1,Female,25,BCA,9.4,23,87,5.8,96,8.1,98.0,82.1,On Track
Mechanical,2,Non-binary,19,B.Sc,5.6,28,56,3.3,79,9.8,72.0,53.6,On Track
Information Technology,8,Male,23,BCA,9.3,52,80,4.8,86,5.8,98.0,74.6,On Track
Mechanical,2,Male,25,MBA,5.6,16,63,5.9,56,8.3,78.7,61.7,On Track
Electronics,4,Non-binary,17,BCA,6.1,33,55,5.6,79,7.1,89.5,50.6,On Track
Information Technology,3,Non-binary,25,BCA,8.6,28,89,4.9,71,6.9,96.4,77.8,On Track
Computer Science,6,Non-binary,23,BCA,8.4,40,56,1.4,51,5.7,59.0,45.0,At Risk
Business Analytics,7,Female,24,BCA,6.9,50,95,2.3,86,3.8,93.0,83.0,On Track
Information Technology,7,Non-binary,25,MCA,5.0,39,62,2.8,42,6.9,61.1,61.4,At Risk
Electronics,2,Non-binary,24,MBA,8.7,28,85,1.3,82,8.2,85.0,73.0,On Track
Civil,7,Non-binary,18,B.Tech,9.2,44,74,5.9,62,5.9,83.7,72.0,On Track
Computer Science,7,Male,21,B.Tech,8.5,43,76,0.6,87,7.6,91.2,72.2,On Track
Civil,6,Female,17,BCA,6.2,37,86,3.8,43,9.1,68.9,82.4,On Track
Business Analytics,3,Non-binary,19,MCA,7.4,30,49,4.4,74,5.1,80.3,46.9,On Track
Civil,3,Non-binary,24,BCA,8.3,27,73,2.4,93,4.4,98.0,70.1,On Track
Electronics,5,Female,25,B.Tech,9.3,38,56,4.0,91,6.9,96.3,54.8,On Track
Computer Science,5,Female,23,BCA,9.6,38,63,1.0,73,9.0,73.5,50.7,On Track
Information Technology,4,Non-binary,21,B.Sc,8.7,35,74,1.8,75,8.8,75.7,63.1,On Track
Information Technology,1,Non-binary,19,MBA,9.1,22,85,2.5,71,4.2,83.7,70.5,On Track
Information Technology,6,Female,24,MBA,5.3,40,92,4.9,47,7.7,69.6,88.5,On Track
Computer Science,3,Female,18,MCA,8.3,32,69,0.6,96,8.5,89.0,56.5,On Track
Information Technology,6,Non-binary,19,MBA,5.2,46,59,4.8,51,9.9,63.4,53.6,On Track
Electronics,4,Non-binary,24,MBA,7.0,31,88,4.2,58,8.5,70.2,83.2,On Track
Information Technology,7,Male,25,BCA,6.0,36,89,3.6,41,6.8,67.8,76.8,On Track
Mechanical,6,Male,24,B.Tech,9.1,44,94,5.9,54,3.8,83.0,90.1,On Track
Mechanical,5,Non-binary,25,B.Tech,8.4,35,68,2.3,88,8.3,95.9,66.4,On Track
Mechanical,3,Male,18,B.Sc,8.0,27,92,5.4,59,3.5,76.1,81.0,On Track
Business Analytics,1,Female,20,B.Tech,4.9,20,84,1.1,96,8.2,88.4,71.7,On Track
Civil,8,Male,19,MBA,7.1,54,67,4.5,62,8.7,72.3,65.5,On Track
Electronics,4,Non-binary,22,MBA,9.4,25,66,4.0,75,6.9,90.8,62.8,On Track
Business Analytics,8,Female,22,B.Tech,6.1,50,48,2.0,70,4.8,67.6,45.0,At Risk
Mechanical,8,Male,18,MCA,8.6,45,71,6.2,56,9.5,76.5,58.7,On Track
Mechanical,4,Female,23,B.Sc,9.4,34,75,2.9,86,5.2,97.2,63.8,On Track
Business Analytics,6,Male,21,B.Sc,8.1,34,82,1.9,54,7.3,73.6,74.1,On Track
Civil,2,Non-binary,24,BCA,5.0,29,77,1.9,48,5.3,63.9,67.7,At Risk
Electronics,5,Non-binary,20,B.Tech,9.2,32,70,5.1,78,9.9,98.0,66.2,On Track
Mechanical,5,Male,24,B.Sc,8.1,34,68,4.4,50,8.5,74.3,66.1,On Track
Electronics,1,Female,21,B.Tech,7.2,25,87,0.8,61,8.7,77.0,73.6,On Track
Computer Science,8,Female,25,MBA,8.3,52,52,3.2,47,4.7,68.6,49.2,At Risk
Civil,8,Female,17,B.Sc,6.2,41,59,0.9,45,9.8,52.9,55.7,On Track
Computer Science,7,Female,17,B.Sc,8.2,50,88,2.9,76,7.3,85.4,82.9,On Track
Business Analytics,1,Female,20,MCA,5.6,17,84,6.2,71,7.7,81.7,79.8,On Track
Civil,4,Female,18,MCA,9.1,40,68,3.3,38,6.0,73.0,61.4,On Track
Computer Science,8,Male,19,B.Sc,8.0,44,51,4.3,66,9.2,85.2,45.0,On Track
Civil,2,Male,17,MBA,8.0,27,64,6.0,47,5.5,73.0,55.6,On Track
Information Technology,8,Non-binary,25,BCA,5.2,41,80,4.0,47,3.6,63.0,74.5,At Risk
Civil,8,Non-binary,22,MBA,5.2,41,55,2.0,68,6.1,67.7,49.2,On Track
Business Analytics,6,Non-binary,23,B.Sc,8.4,45,56,1.4,55,9.2,71.1,45.0,On Track
Information Technology,1,Male,25,BCA,7.3,14,91,6.0,51,9.6,73.4,81.0,On Track
Information Technology,5,Female,19,BCA,5.9,32,56,3.4,89,9.0,79.1,48.2,On Track
Mechanical,1,Male,19,B.Sc,7.9,15,98,4.8,93,8.5,93.7,87.3,On Track
Information Technology,5,Male,18,BCA,7.9,30,74,0.7,91,6.6,78.8,67.9,On Track
Computer Science,5,Female,20,BCA,7.5,37,71,1.2,63,4.5,64.5,66.2,At Risk
Business Analytics,5,Non-binary,17,BCA,8.3,38,87,3.8,57,4.1,78.0,76.8,On Track
Computer Science,6,Female,24,MBA,9.6,37,91,1.4,67,5.9,87.3,84.2,On Track
Civil,3,Non-binary,18,B.Sc,8.4,27,64,4.9,66,9.5,84.1,58.4,On Track
Civil,2,Female,23,MBA,8.5,19,64,2.5,41,8.8,63.3,57.0,On Track
Mechanical,2,Non-binary,21,B.Sc,6.4,16,49,0.8,95,4.2,85.5,47.3,At Risk
Business Analytics,5,Female,19,MBA,7.4,28,98,5.6,59,5.9,78.9,90.7,On Track
Business Analytics,5,Female,23,MCA,9.3,34,76,4.7,90,5.9,93.9,73.8,On Track
Computer Science,4,Non-binary,17,MBA,5.2,34,92,2.5,92,5.8,84.7,83.5,On Track
Information Technology,2,Female,21,B.Sc,7.6,22,69,1.7,40,7.0,63.2,60.3,On Track
Civil,1,Male,23,MBA,8.4,24,72,6.5,49,8.3,72.5,65.4,On Track
Civil,8,Non-binary,19,BCA,9.2,52,77,2.1,67,8.0,77.8,70.9,On Track
Computer Science,3,Non-binary,23,B.Tech,9.5,22,96,5.5,65,6.4,91.7,83.7,On Track
Information Technology,3,Non-binary,19,MBA,8.3,36,93,1.7,92,4.9,86.0,89.4,On Track
Civil,8,Female,18,B.Sc,5.5,40,57,4.3,70,4.8,73.2,52.3,On Track
Mechanical,1,Male,17,B.Tech,8.5,26,90,2.2,72,6.5,87.4,86.9,On Track
Information Technology,2,Male,18,B.Tech,8.2,23,63,4.4,91,5.6,98.0,58.4,On Track
Civil,1,Male,22,BCA,6.9,14,60,5.5,47,7.1,72.9,58.0,On Track
Electronics,6,Male,20,MCA,8.4,48,73,5.8,90,7.1,98.0,70.4,On Track
Civil,1,Female,19,B.Tech,6.5,15,56,5.0,42,7.7,65.0,52.9,On Track
Electronics,1,Male,22,MCA,6.4,20,53,2.6,88,5.7,78.2,45.2,At Risk
Information Technology,1,Female,24,BCA,8.7,26,89,5.2,78,4.9,93.0,78.6,On Track
Mechanical,3,Female,20,B.Sc,7.9,29,94,6.3,95,4.1,98.0,87.9,On Track
Mechanical,7,Non-binary,25,MCA,6.5,37,57,2.1,75,9.7,71.5,46.8,On Track
Computer Science,1,Female,17,B.Sc,6.5,26,87,2.2,48,8.8,64.0,77.0,On Track
Computer Science,5,Male,23,BCA,6.0,29,80,6.5,86,8.0,98.0,75.4,On Track
Business Analytics,7,Male,21,MBA,7.8,41,79,6.4,91,8.1,98.0,68.6,On Track
Electronics,1,Female,20,MBA,8.1,17,49,4.2,64,9.7,70.8,45.0,On Track
Civil,7,Female,19,MCA,6.8,36,77,0.6,92,5.4,85.4,66.4,On Track
Civil,5,Male,17,MCA,8.8,35,95,2.1,77,9.0,95.2,84.7,On Track
Computer Science,8,Male,18,B.Tech,7.8,56,48,5.7,81,4.5,83.4,45.0,On Track
Electronics,8,Male,18,B.Tech,8.5,52,75,1.6,55,6.8,65.3,66.9,On Track
Electronics,5,Female,18,B.Sc,5.0,33,82,4.6,73,3.9,74.5,74.7,At Risk
Computer Science,7,Non-binary,18,MBA,5.3,43,81,1.3,52,7.5,52.4,71.7,At Risk
Electronics,4,Non-binary,20,B.Tech,5.5,25,86,1.4,59,3.9,67.9,72.3,At Risk
Business Analytics,4,Male,20,MBA,8.2,32,74,1.9,68,5.6,72.5,71.3,On Track
Computer Science,5,Male,21,MBA,5.1,30,79,5.8,82,6.9,91.9,70.4,On Track
Information Technology,7,Non-binary,22,B.Tech,7.8,41,72,3.0,46,8.7,59.1,62.4,On Track
Business Analytics,2,Female,19,MCA,9.0,22,94,1.6,44,4.1,64.5,83.0,On Track
Computer Science,4,Male,20,B.Tech,9.0,40,97,6.1,71,4.4,94.8,82.3,On Track
Civil,2,Female,25,B.Sc,6.8,22,64,1.3,62,5.3,72.8,58.6,At Risk
Electronics,6,Male,19,B.Sc,5.4,42,93,5.0,83,4.9,85.3,89.3,On Track
Computer Science,7,Non-binary,22,B.Tech,6.5,49,77,3.0,72,8.3,76.2,68.6,On Track
Computer Science,5,Non-binary,18,B.Sc,7.6,32,71,5.2,76,9.5,88.1,60.1,On Track
Mechanical,7,Male,20,MBA,7.6,46,97,5.7,88,6.5,98.0,84.1,On Track
Information Technology,4,Female,24,B.Sc,8.8,26,60,3.5,53,6.0,71.5,59.0,On Track
Civil,4,Female,22,B.Sc,6.9,33,71,5.3,64,4.5,75.1,68.2,On Track
Computer Science,1,Male,22,MCA,5.7,24,90,3.3,70,7.5,84.5,82.8,On Track
Mechanical,4,Female,21,BCA,5.2,39,73,1.6,62,3.8,66.3,71.0,At Risk
Mechanical,5,Non-binary,19,B.Tech,8.9,32,67,1.6,43,3.5,65.2,57.9,At Risk
Business Analytics,2,Female,23,B.Tech,7.5,16,68,4.5,94,9.1,96.5,66.8,On Track
Computer Science,8,Non-binary,19,MCA,7.6,50,65,1.8,72,8.1,78.8,61.1,On Track
Information Technology,6,Male,21,B.Sc,6.9,46,74,1.8,62,6.6,70.6,70.8,At Risk
Electronics,3,Non-binary,18,BCA,9.3,22,94,4.9,71,6.7,93.2,79.7,On Track
Information Technology,3,Male,20,B.Tech,7.3,23,65,1.8,78,5.2,81.0,55.7,At Risk
Computer Science,7,Female,22,B.Sc,7.9,52,52,3.0,71,6.8,73.0,45.0,On Track
Business Analytics,7,Non-binary,18,B.Sc,5.7,52,72,0.7,96,5.7,76.3,66.7,At Risk
Civil,3,Female,21,MBA,7.0,20,62,2.1,95,9.1,80.1,53.7,On Track
Civil,6,Non-binary,21,MCA,8.1,34,68,1.2,65,8.7,77.9,60.1,On Track
Business Analytics,5,Non-binary,23,MCA,9.3,35,60,1.0,49,9.9,70.8,53.3,On Track
Electronics,2,Non-binary,23,MCA,5.5,18,50,5.6,84,5.3,83.8,45.0,At Risk
Civil,3,Female,18,MCA,8.6,24,56,0.6,74,5.6,70.1,48.6,On Track
Mechanical,6,Male,25,B.Sc,6.7,44,97,1.2,81,5.0,86.8,88.7,On Track
Business Analytics,2,Non-binary,19,B.Sc,9.1,32,97,1.6,77,9.3,81.3,86.9,On Track
Civil,2,Non-binary,24,B.Sc,6.7,23,71,2.7,43,3.6,61.3,69.9,At Risk
Business Analytics,5,Non-binary,20,MCA,7.9,42,57,4.2,68,6.1,77.7,48.2,On Track
Computer Science,3,Female,24,BCA,9.3,24,88,2.4,53,8.0,84.0,79.2,On Track
Civil,4,Male,21,B.Tech,9.2,39,79,5.3,58,9.3,77.1,75.4,On Track
Mechanical,2,Female,20,MBA,9.6,18,71,3.7,74,6.9,88.1,64.9,On Track
Electronics,6,Female,22,B.Sc,6.7,35,50,1.8,82,9.1,83.9,48.3,On Track
Electronics,4,Non-binary,17,B.Sc,6.9,33,67,3.4,94,5.9,87.1,61.0,On Track
Electronics,2,Male,23,B.Sc,6.9,20,68,5.2,47,8.0,64.2,58.6,On Track
Business Analytics,6,Non-binary,24,BCA,7.0,42,64,2.7,39,7.3,58.1,53.0,On Track
Information Technology,5,Female,17,B.Tech,9.5,38,76,5.5,60,5.1,87.5,72.7,On Track
Civil,2,Male,17,B.Tech,7.3,18,80,4.8,83,9.6,98.0,68.4,On Track
Business Analytics,8,Non-binary,24,MCA,6.7,43,94,2.6,67,5.6,76.3,82.4,On Track
Mechanical,8,Male,18,B.Sc,7.8,45,96,6.0,89,5.9,98.0,82.4,On Track
Mechanical,1,Non-binary,24,MCA,6.8,26,70,1.6,83,8.4,83.6,64.0,On Track
Civil,7,Non-binary,20,B.Tech,9.3,41,67,2.9,67,4.5,77.2,60.8,On Track
Civil,4,Female,19,B.Sc,5.5,24,49,0.6,93,9.9,78.0,47.5,On Track
Mechanical,2,Male,25,B.Sc,8.3,25,74,0.6,50,7.2,65.2,60.9,On Track
Information Technology,7,Female,18,BCA,6.6,50,58,1.3,41,5.4,56.6,48.1,At Risk
Computer Science,3,Female,24,BCA,5.1,32,77,1.4,76,7.4,79.6,70.2,On Track
Business Analytics,6,Non-binary,18,MCA,8.2,40,50,2.0,86,8.1,81.6,50.2,On Track
Mechanical,2,Non-binary,19,BCA,5.2,30,90,6.4,57,8.9,75.7,86.3,On Track
Civil,6,Non-binary,18,MCA,8.7,34,91,2.4,69,5.9,88.8,76.9,On Track
Mechanical,1,Non-binary,25,MBA,9.7,16,54,3.3,71,4.1,77.9,45.0,On Track
Business Analytics,2,Non-binary,25,B.Tech,5.3,20,70,1.8,74,6.3,70.1,67.0,At Risk
Electronics,4,Male,24,MBA,6.8,32,63,5.5,63,8.1,77.0,60.8,On Track
Information Technology,4,Male,17,MCA,9.5,38,64,1.0,78,7.0,83.7,52.3,On Track
Computer Science,1,Non-binary,20,B.Tech,8.0,24,97,4.9,55,7.5,73.4,83.7,On Track
Business Analytics,7,Female,18,B.Sc,8.2,43,79,5.5,72,4.1,86.2,70.4,On Track
Computer Science,1,Female,17,MCA,7.7,18,75,3.7,86,3.5,85.1,72.3,On Track
Mechanical,5,Female,23,MBA,9.1,28,71,0.7,86,6.8,84.1,60.0,On Track
Business Analytics,5,Female,19,B.Tech,8.7,35,54,1.3,59,7.1,67.8,45.0,On Track
Electronics,2,Male,20,MCA,9.3,23,82,6.0,71,9.8,92.6,67.9,On Track
Computer Science,6,Non-binary,18,B.Tech,7.2,41,85,5.1,45,9.2,76.7,73.0,On Track
Computer Science,4,Female,21,B.Tech,7.1,31,56,4.4,91,4.6,97.0,45.7,On Track
Computer Science,3,Male,24,B.Tech,5.7,28,68,3.4,50,4.8,61.4,59.4,At Risk
Computer Science,4,Male,17,BCA,8.6,34,58,4.5,58,8.1,72.9,51.2,On Track
Business Analytics,2,Non-binary,24,MBA,7.5,32,56,4.0,69,6.2,71.8,53.4,On Track
Information Technology,5,Female,19,MBA,7.9,29,82,4.2,63,4.7,77.5,79.7,On Track
Business Analytics,5,Non-binary,17,B.Tech,8.0,28,97,3.1,74,9.0,80.8,88.1,On Track
Electronics,3,Female,25,MCA,6.6,31,68,1.7,76,8.7,78.5,56.1,On Track
Business Analytics,7,Male,18,BCA,5.3,39,72,1.3,40,8.6,59.9,70.5,On Track
Civil,4,Male,18,BCA,7.5,27,62,5.8,51,4.4,80.1,49.9,On Track
Business Analytics,1,Male,20,BCA,6.1,14,86,3.6,39,9.5,58.7,82.1,On Track
Information Technology,6,Female,19,MCA,7.4,47,91,2.5,59,5.2,70.5,83.5,On Track
Business Analytics,5,Non-binary,23,B.Sc,5.6,31,76,5.7,67,8.3,79.2,70.7,On Track
Civil,8,Non-binary,18,MCA,5.0,41,84,4.6,87,9.2,92.9,75.0,On Track
Information Technology,7,Non-binary,21,MCA,6.8,40,76,1.4,76,3.6,82.4,69.8,At Risk
Civil,7,Male,21,BCA,6.7,36,76,2.5,51,7.3,60.2,69.5,On Track
Computer Science,3,Male,18,B.Tech,5.9,21,62,3.1,71,9.5,70.5,49.8,On Track
Computer Science,3,Female,21,B.Sc,5.3,33,74,4.7,78,6.8,73.7,68.0,On Track
Mechanical,4,Non-binary,23,BCA,6.4,33,93,1.1,38,7.4,60.4,89.0,At Risk
Business Analytics,5,Male,20,MBA,8.9,35,79,1.3,39,4.1,69.9,65.6,At Risk
Computer Science,5,Female,24,B.Sc,7.2,33,90,2.1,47,6.7,73.4,82.3,On Track
Information Technology,7,Non-binary,24,MBA,6.4,40,85,3.2,88,8.1,81.6,78.6,On Track
Business Analytics,7,Non-binary,21,B.Tech,6.1,48,93,0.9,61,7.2,67.5,88.4,At Risk
Business Analytics,6,Female,18,B.Sc,5.6,38,69,1.2,70,6.7,69.5,67.9,At Risk
Information Technology,2,Male,17,B.Sc,5.6,27,58,4.3,71,7.4,81.9,53.7,On Track
Civil,8,Non-binary,17,BCA,9.1,46,69,6.4,49,4.1,85.3,65.6,On Track
Information Technology,5,Female,23,B.Tech,8.3,41,88,6.1,79,7.1,94.6,73.4,On Track
Civil,1,Male,21,MBA,8.7,18,98,1.1,60,7.8,72.3,93.7,On Track
Computer Science,2,Non-binary,22,MCA,5.2,30,93,6.4,83,7.6,95.2,82.5,On Track
Civil,5,Non-binary,24,B.Sc,8.2,42,57,6.1,44,5.2,65.1,46.7,On Track
Computer Science,5,Female,25,MBA,7.0,30,72,4.9,64,8.9,75.0,68.3,On Track
Business Analytics,1,Female,21,MCA,8.2,28,89,4.0,94,7.1,98.0,74.5,On Track
Mechanical,7,Non-binary,18,MBA,7.8,37,65,6.0,93,9.3,95.5,54.4,On Track
Mechanical,5,Female,19,B.Sc,8.9,41,73,1.3,95,4.9,86.4,63.9,On Track
Computer Science,5,Male,25,MCA,9.5,36,58,0.7,76,3.6,80.1,47.7,On Track
Information Technology,7,Non-binary,17,BCA,6.3,37,85,1.5,77,6.4,77.3,79.8,On Track
Civil,4,Female,17,MCA,7.4,30,87,5.6,93,8.5,98.0,81.4,On Track
Business Analytics,2,Female,23,B.Tech,8.0,30,79,4.2,67,8.9,89.3,67.8,On Track
Electronics,4,Male,24,MCA,8.1,39,93,6.1,58,5.2,82.6,82.0,On Track
Business Analytics,3,Male,20,B.Tech,7.8,33,55,1.5,42,9.6,64.0,45.0,On Track
Business Analytics,3,Female,19,BCA,7.3,35,55,3.1,45,3.8,69.7,48.9,On Track
Business Analytics,6,Male,23,B.Sc,5.9,47,52,3.0,58,5.2,59.6,45.6,At Risk
Civil,8,Non-binary,25,MBA,9.1,44,98,4.1,90,6.6,98.0,90.6,On Track
Civil,1,Male,24,MCA,8.4,20,86,6.0,84,7.7,93.6,72.8,On Track
Mechanical,6,Male,19,BCA,8.3,33,53,2.9,81,6.9,92.3,45.4,On Track
Civil,5,Non-binary,25,B.Tech,6.9,37,79,5.7,51,8.5,76.3,66.0,On Track
Computer Science,3,Non-binary,24,MBA,6.8,34,62,2.5,96,5.6,81.0,51.4,On Track
Computer Science,7,Male,19,B.Sc,6.5,45,80,2.4,52,9.9,59.9,69.1,On Track
Information Technology,1,Non-binary,18,MBA,8.8,28,83,3.3,72,7.9,79.1,70.8,On Track
Computer Science,5,Male,21,MBA,7.4,38,93,5.7,55,10.0,78.4,87.5,On Track
Mechanical,3,Non-binary,19,B.Tech,6.5,22,94,5.0,60,8.6,72.9,79.2,On Track
Information Technology,3,Non-binary,21,B.Sc,7.7,27,48,2.0,47,7.4,61.1,45.0,At Risk
Business Analytics,4,Non-binary,17,B.Tech,9.6,38,67,0.7,72,5.4,75.0,64.0,On Track
Business Analytics,8,Female,23,MBA,7.9,52,95,1.5,68,5.6,79.1,84.6,On Track
